거래일시,적요,출금금액,입금금액,거래후잔액
2026-05-01 09:14,스타벅스 숭실대점,6200,,493800
2026-05-02 12:33,학식 학생식당,6500,,487300
2026-05-03 18:22,쿠팡 로켓배송,52900,,434400
2026-05-04 10:00,용돈 입금,,200000,634400
2026-05-05 19:40,배민 떡볶이,18700,,615700
2026-05-06 08:01,지하철 교통카드,1450,,614250
2026-05-08 03:10,Netflix monthly,17000,,597250
2026-05-10 15:20,교보문고 전공교재,38500,,558750
2026-05-12 14:55,이디야커피 시험기간,5500,,553250
2026-05-13 16:30,다이소 생활용품,13200,,540050
2026-05-14 09:30,알바비 입금,,120000,660050
2026-05-15 23:11,카카오T 택시,12600,,647450
2026-05-16 20:02,쿠팡이츠 피자,23900,,623550
2026-05-17 17:48,올리브영 선크림,21800,,601750
2026-05-19 11:05,알라딘 문제집,15400,,586350
2026-05-20 13:22,컴포즈커피 아이스라떼,3500,,582850
2026-05-22 21:36,무신사 티셔츠,42000,,540850
2026-05-24 10:40,약국 감기약,7600,,533250
2026-05-26 18:18,네이버페이 결제,33000,,500250
2026-05-29 04:01,YouTube Premium,14900,,485350
